iter	Logloss
0	0.6765719637
1	0.6625106341
2	0.6498642875
3	0.6383496355
4	0.6282835904
5	0.6194858458
6	0.6116065783
7	0.6046398272
8	0.5983696739
9	0.5931137541
10	0.5883171795
11	0.5841771103
12	0.5804403017
13	0.5770971685
14	0.5740129634
15	0.5713107859
16	0.5689964042
17	0.5668702622
18	0.565049621
19	0.5632294999
20	0.561537895
21	0.5599402851
22	0.558513855
23	0.5572065038
24	0.5560363059
25	0.554922667
26	0.553837338
27	0.5528866175
28	0.5520270632
29	0.5513444911
30	0.5506553223
31	0.5500493379
32	0.5494843023
33	0.5488318378
34	0.548265346
35	0.5479081439
36	0.5474337117
37	0.5469892775
38	0.5465069194
39	0.5461784733
40	0.5458054675
41	0.545452889
42	0.5451420929
43	0.5448418599
44	0.5445441226
45	0.5442508173
46	0.5439815082
47	0.5437953638
48	0.5435865276
49	0.5433507302
50	0.5431200573
51	0.5428852926
52	0.5427142786
53	0.5426575811
54	0.5424734537
55	0.5423138239
56	0.5421834507
57	0.5419813575
58	0.5418008542
59	0.5416419662
60	0.5414814105
61	0.5413875327
62	0.5412790179
63	0.5411520667
64	0.5410289611
65	0.540889877
66	0.5407661809
67	0.5406254018
68	0.5404579094
69	0.5403448739
70	0.5402374531
71	0.5401022213
72	0.5400197066
73	0.5399316993
74	0.5398759169
75	0.5397898552
76	0.5397137452
77	0.5396162696
78	0.5395089922
79	0.5394044971
80	0.5393025065
81	0.5392237031
82	0.5391165591
83	0.5390116457
84	0.5389304169
85	0.5388478218
86	0.538760927
87	0.5386416523
88	0.5385479347
89	0.5384425533
90	0.5383124318
91	0.5382195212
92	0.5381165486
93	0.537995612
94	0.5379205918
95	0.5378305941
96	0.5377467566
97	0.5376828145
98	0.5376382385
99	0.5375684931
100	0.5375016089
101	0.5374256829
102	0.5373541004
103	0.5372516909
104	0.5371833547
105	0.5370961102
106	0.5370310918
107	0.5369857586
108	0.5369206749
109	0.5368700252
110	0.536820737
111	0.536753672
112	0.5367019876
113	0.5366590776
114	0.5365916047
115	0.5365743799
116	0.5364744348
117	0.5364345191
118	0.5363571266
119	0.5362978661
120	0.5362624001
121	0.536210562
122	0.5361467591
123	0.5360752534
124	0.5360249128
125	0.5359532081
126	0.5359089095
127	0.535881756
128	0.5358190737
129	0.5357633641
130	0.5357239019
131	0.5356669194
132	0.5355720415
133	0.535482592
134	0.5354305383
135	0.5353616863
136	0.5353087316
137	0.5352396634
138	0.5351851975
139	0.5351128968
140	0.5350632401
141	0.5350009167
142	0.5349352561
143	0.5348632498
144	0.5348089212
145	0.5347694138
146	0.5347128725
147	0.5346690054
148	0.5346217259
149	0.5345699514
150	0.5345300707
151	0.5344721084
152	0.5344168067
153	0.5343462949
154	0.5343150335
155	0.5342506826
156	0.5341709744
157	0.5340950023
158	0.5340437045
159	0.5340074133
160	0.5339580526
161	0.5339207979
162	0.5339001498
163	0.5338463683
164	0.5338141616
165	0.5337633889
166	0.5337420074
167	0.5336755021
168	0.5336634059
