iter	Passed	Remaining
0	10	10540
1	20	10468
2	30	10147
3	41	10249
4	51	10156
5	61	10243
6	72	10308
7	83	10348
8	92	10203
9	102	10140
10	111	10050
11	122	10078
12	133	10118
13	143	10095
14	152	9991
15	160	9851
16	169	9778
17	177	9696
18	186	9632
19	194	9543
20	203	9465
21	211	9411
22	221	9391
23	230	9368
24	239	9355
25	248	9318
26	256	9261
27	265	9215
28	274	9175
29	282	9130
30	291	9108
31	300	9084
32	309	9062
33	317	9032
34	326	8996
35	334	8956
36	343	8929
37	351	8903
38	360	8873
39	368	8849
40	377	8820
41	385	8793
42	394	8776
43	403	8758
44	411	8731
45	420	8711
46	428	8697
47	437	8677
48	445	8653
49	455	8649
50	463	8630
51	472	8621
52	481	8608
53	487	8533
54	495	8519
55	505	8515
56	513	8488
57	521	8473
58	530	8456
59	539	8445
60	547	8429
61	555	8407
62	563	8380
63	573	8380
64	581	8360
65	589	8345
66	598	8331
67	606	8316
68	615	8308
69	624	8293
70	632	8277
71	641	8264
72	649	8250
73	658	8240
74	666	8222
75	674	8202
76	682	8183
77	691	8171
78	700	8163
79	708	8150
80	717	8141
81	726	8130
82	734	8118
83	743	8105
84	752	8097
85	760	8083
86	769	8071
87	778	8063
88	786	8050
89	794	8037
90	803	8030
91	812	8020
92	821	8009
93	829	7998
94	838	7988
95	846	7975
96	855	7963
97	864	7953
98	874	7959
99	883	7950
100	891	7938
101	900	7926
102	908	7913
103	918	7909
104	926	7897
105	934	7877
106	942	7864
107	950	7854
108	959	7844
109	967	7831
110	976	7819
111	985	7813
112	993	7799
113	1001	7784
114	1010	7773
115	1017	7757
116	1026	7748
117	1036	7746
118	1044	7735
119	1053	7723
120	1061	7710
121	1070	7701
122	1078	7688
123	1087	7680
124	1095	7668
125	1103	7657
126	1112	7644
127	1120	7634
128	1129	7627
129	1138	7618
130	1146	7607
131	1155	7599
132	1164	7590
133	1173	7585
134	1182	7573
135	1190	7563
136	1198	7551
137	1207	7543
138	1216	7533
139	1224	7523
140	1233	7516
141	1241	7502
142	1250	7493
143	1258	7482
144	1267	7475
145	1275	7461
146	1284	7455
147	1292	7443
148	1300	7430
149	1309	7422
150	1318	7411
151	1326	7401
152	1334	7389
153	1343	7380
154	1351	7366
155	1359	7356
156	1368	7348
157	1377	7340
158	1385	7328
159	1393	7317
160	1402	7306
161	1410	7296
162	1418	7283
163	1427	7274
164	1435	7265
165	1444	7259
166	1453	7249
167	1462	7243
168	1470	7232
169	1479	7225
170	1489	7219
171	1498	7211
172	1507	7205
173	1516	7200
174	1526	7195
175	1534	7185
176	1542	7173
177	1551	7163
178	1561	7163
179	1570	7154
180	1579	7146
181	1587	7134
182	1594	7120
183	1603	7109
184	1611	7098
185	1619	7086
186	1627	7075
187	1636	7066
188	1644	7055
189	1651	7042
190	1659	7029
191	1667	7018
192	1676	7009
193	1684	7000
194	1694	6993
195	1702	6985
196	1711	6975
197	1720	6968
198	1729	6960
199	1737	6951
200	1746	6942
201	1756	6937
202	1765	6931
203	1774	6925
204	1783	6916
205	1792	6907
206	1800	6897
207	1808	6887
208	1818	6881
209	1826	6871
210	1834	6861
211	1843	6851
212	1851	6841
213	1860	6831
214	1871	6833
215	1880	6824
216	1889	6817
217	1897	6808
218	1906	6797
219	1914	6788
220	1923	6781
221	1931	6768
222	1939	6758
223	1947	6747
224	1956	6738
225	1964	6729
226	1973	6721
227	1982	6712
228	1991	6704
229	1999	6692
230	2007	6684
231	2015	6673
232	2023	6660
233	2031	6650
234	2039	6640
235	2048	6631
236	2056	6621
237	2064	6610
238	2073	6601
239	2081	6591
240	2090	6583
241	2099	6575
242	2108	6567
243	2116	6557
244	2123	6543
245	2132	6536
246	2141	6527
247	2150	6519
248	2158	6510
249	2166	6499
250	2174	6488
251	2182	6478
252	2190	6468
253	2198	6457
254	2206	6447
255	2215	6438
256	2223	6428
257	2231	6418
258	2240	6409
259	2248	6400
260	2256	6389
261	2265	6380
262	2273	6370
263	2282	6362
264	2290	6352
265	2299	6344
266	2308	6336
267	2317	6329
268	2325	6319
269	2333	6309
270	2341	6298
271	2350	6289
272	2358	6279
273	2366	6269
274	2374	6260
275	2383	6252
276	2391	6242
277	2400	6233
278	2412	6234
279	2423	6231
280	2431	6222
281	2440	6214
282	2449	6205
283	2457	6196
284	2466	6187
285	2475	6179
286	2484	6171
287	2492	6161
288	2500	6152
289	2509	6144
290	2518	6135
291	2527	6127
292	2536	6120
293	2544	6109
294	2557	6112
295	2569	6110
296	2581	6110
297	2596	6115
298	2606	6111
299	2619	6112
300	2633	6115
301	2646	6116
302	2656	6109
303	2664	6099
304	2672	6089
305	2680	6078
306	2688	6069
307	2697	6060
308	2706	6051
309	2714	6041
310	2723	6032
311	2731	6024
312	2739	6013
313	2747	6003
314	2755	5992
315	2764	5984
316	2772	5973
317	2780	5963
318	2789	5954
319	2797	5943
320	2805	5934
321	2814	5925
322	2823	5917
323	2831	5908
324	2840	5899
325	2848	5889
326	2857	5880
327	2867	5874
328	2875	5864
329	2883	5855
330	2892	5846
331	2901	5837
332	2908	5826
333	2916	5815
334	2924	5805
335	2933	5796
336	2941	5787
337	2949	5777
338	2957	5767
339	2966	5757
340	2973	5747
341	2982	5737
342	2990	5728
343	2999	5719
344	3008	5712
345	3017	5704
346	3026	5696
347	3035	5687
348	3043	5677
349	3052	5668
350	3060	5658
351	3068	5649
352	3076	5639
353	3085	5630
354	3093	5620
355	3102	5612
356	3111	5603
357	3120	5596
358	3129	5587
359	3137	5577
360	3145	5567
361	3154	5558
362	3163	5551
363	3172	5543
364	3181	5534
365	3190	5526
366	3198	5517
367	3206	5507
368	3215	5499
369	3224	5489
370	3231	5479
371	3241	5471
372	3250	5463
373	3257	5452
374	3265	5443
375	3274	5433
376	3282	5424
377	3291	5416
378	3300	5407
379	3308	5397
380	3316	5387
381	3324	5378
382	3334	5372
383	3345	5366
384	3354	5358
385	3362	5348
386	3371	5339
387	3379	5329
388	3386	5319
389	3394	5309
390	3402	5300
391	3410	5290
392	3419	5282
393	3427	5271
394	3435	5262
395	3444	5253
396	3453	5245
397	3461	5235
398	3469	5225
399	3477	5216
400	3485	5207
401	3493	5197
402	3502	5188
403	3511	5179
404	3520	5171
405	3529	5163
406	3537	5154
407	3546	5145
408	3555	5137
409	3563	5128
410	3572	5119
411	3580	5110
412	3589	5101
413	3597	5092
414	3605	5082
415	3613	5072
416	3622	5064
417	3630	5054
418	3638	5045
419	3647	5037
420	3655	5027
421	3664	5019
422	3672	5009
423	3680	5000
424	3688	4990
425	3697	4982
426	3706	4974
427	3714	4964
428	3723	4955
429	3730	4945
430	3739	4936
431	3747	4927
432	3755	4917
433	3764	4908
434	3772	4899
435	3780	4890
436	3788	4881
437	3796	4871
438	3804	4862
439	3812	4852
440	3821	4844
441	3829	4834
442	3837	4825
443	3845	4816
444	3854	4807
445	3864	4800
446	3873	4792
447	3883	4784
448	3892	4776
449	3900	4767
450	3908	4758
451	3918	4750
452	3926	4740
453	3934	4731
454	3942	4722
455	3951	4714
456	3960	4705
457	3969	4697
458	3978	4689
459	3987	4680
460	3996	4672
461	4004	4662
462	4013	4654
463	4021	4645
464	4029	4636
465	4037	4626
466	4045	4617
467	4054	4608
468	4062	4599
469	4070	4590
470	4079	4581
471	4088	4573
472	4097	4565
473	4106	4556
474	4114	4547
475	4126	4543
476	4136	4535
477	4145	4527
478	4154	4518
479	4163	4510
480	4171	4501
481	4180	4492
482	4189	4484
483	4197	4475
484	4206	4467
485	4215	4458
486	4223	4448
487	4232	4440
488	4240	4431
489	4249	4422
490	4257	4413
491	4265	4404
492	4273	4395
493	4282	4386
494	4290	4377
495	4299	4368
496	4309	4361
497	4320	4354
498	4330	4347
499	4339	4339
500	4347	4330
501	4356	4321
502	4364	4312
503	4373	4304
504	4382	4295
505	4393	4288
506	4402	4281
507	4410	4271
508	4419	4262
509	4428	4254
510	4438	4247
511	4447	4238
512	4456	4230
513	4466	4223
514	4477	4216
515	4487	4208
516	4495	4199
517	4504	4191
518	4512	4182
519	4520	4172
520	4528	4163
521	4537	4154
522	4547	4147
523	4555	4138
524	4563	4129
525	4571	4119
526	4580	4110
527	4588	4101
528	4596	4092
529	4604	4083
530	4613	4074
531	4621	4065
532	4629	4056
533	4637	4047
534	4645	4037
535	4653	4028
536	4662	4019
537	4670	4010
538	4678	4001
539	4686	3992
540	4694	3982
541	4702	3973
542	4711	3964
543	4718	3955
544	4726	3946
545	4735	3937
546	4743	3928
547	4751	3919
548	4760	3910
549	4768	3901
550	4776	3892
551	4785	3883
552	4793	3874
553	4801	3865
554	4809	3856
555	4818	3847
556	4826	3838
557	4834	3829
558	4842	3820
559	4850	3811
560	4859	3802
561	4868	3793
562	4876	3785
563	4884	3776
564	4893	3767
565	4901	3758
566	4909	3749
567	4918	3740
568	4926	3731
569	4934	3722
570	4943	3713
571	4952	3705
572	4961	3697
573	4969	3688
574	4978	3679
575	4987	3671
576	4995	3662
577	5004	3653
578	5013	3645
579	5021	3636
580	5029	3626
581	5038	3618
582	5046	3609
583	5055	3600
584	5063	3591
585	5072	3583
586	5080	3574
587	5088	3565
588	5098	3557
589	5106	3548
590	5115	3540
591	5124	3531
592	5133	3523
593	5141	3514
594	5150	3505
595	5158	3497
596	5166	3487
597	5174	3478
598	5183	3469
599	5192	3461
600	5200	3452
601	5208	3443
602	5217	3434
603	5225	3426
604	5234	3417
605	5242	3408
606	5251	3399
607	5259	3391
608	5268	3382
609	5277	3374
610	5285	3365
611	5294	3356
612	5303	3348
613	5312	3339
614	5321	3331
615	5330	3322
616	5338	3313
617	5346	3305
618	5355	3296
619	5363	3287
620	5371	3278
621	5379	3269
622	5387	3260
623	5397	3252
624	5405	3243
625	5414	3234
626	5423	3226
627	5431	3217
628	5440	3208
629	5449	3200
630	5459	3192
631	5468	3184
632	5478	3176
633	5487	3168
634	5496	3159
635	5506	3151
636	5515	3142
637	5523	3134
638	5532	3125
639	5543	3118
640	5552	3109
641	5561	3101
642	5570	3092
643	5579	3084
644	5588	3075
645	5597	3067
646	5605	3058
647	5612	3049
648	5621	3040
649	5629	3031
650	5638	3022
651	5646	3013
652	5654	3004
653	5662	2995
654	5671	2987
655	5680	2978
656	5689	2970
657	5697	2961
658	5705	2952
659	5713	2943
660	5722	2934
661	5730	2926
662	5739	2917
663	5748	2908
664	5756	2899
665	5764	2890
666	5773	2882
667	5782	2874
668	5790	2865
669	5799	2856
670	5807	2847
671	5816	2838
672	5825	2830
673	5834	2821
674	5842	2813
675	5852	2805
676	5861	2796
677	5870	2787
678	5878	2778
679	5886	2770
680	5894	2761
681	5903	2752
682	5912	2744
683	5921	2735
684	5929	2726
685	5938	2718
686	5946	2709
687	5955	2700
688	5964	2692
689	5972	2683
690	5980	2674
691	5989	2665
692	5997	2657
693	6005	2648
694	6015	2639
695	6024	2631
696	6032	2622
697	6041	2614
698	6050	2605
699	6059	2597
700	6068	2588
701	6077	2580
702	6086	2571
703	6096	2563
704	6104	2554
705	6112	2545
706	6121	2537
707	6130	2528
708	6138	2519
709	6146	2510
710	6154	2501
711	6162	2492
712	6171	2484
713	6180	2475
714	6188	2466
715	6197	2458
716	6206	2449
717	6215	2440
718	6223	2432
719	6231	2423
720	6238	2414
721	6247	2405
722	6255	2396
723	6263	2387
724	6271	2378
725	6280	2370
726	6288	2361
727	6296	2352
728	6305	2343
729	6313	2335
730	6321	2326
731	6329	2317
732	6337	2308
733	6345	2299
734	6354	2291
735	6362	2282
736	6371	2273
737	6380	2265
738	6388	2256
739	6397	2247
740	6406	2239
741	6414	2230
742	6423	2221
743	6432	2213
744	6440	2204
745	6450	2196
746	6459	2187
747	6468	2179
748	6477	2170
749	6486	2162
750	6495	2153
751	6504	2145
752	6513	2136
753	6522	2127
754	6532	2119
755	6544	2112
756	6553	2103
757	6563	2095
758	6571	2086
759	6581	2078
760	6590	2069
761	6599	2061
762	6608	2052
763	6617	2044
764	6626	2035
765	6634	2026
766	6643	2018
767	6651	2009
768	6660	2000
769	6668	1992
770	6677	1983
771	6686	1974
772	6694	1965
773	6702	1957
774	6711	1948
775	6720	1939
776	6727	1930
777	6736	1922
778	6744	1913
779	6752	1904
780	6761	1896
781	6770	1887
782	6779	1878
783	6788	1870
784	6797	1861
785	6805	1853
786	6814	1844
787	6823	1835
788	6831	1827
789	6844	1819
790	6853	1810
791	6861	1802
792	6870	1793
793	6879	1784
794	6887	1776
795	6897	1767
796	6906	1759
797	6914	1750
798	6923	1741
799	6932	1733
800	6941	1724
801	6950	1715
802	6959	1707
803	6970	1699
804	6979	1690
805	6988	1682
806	6997	1673
807	7006	1664
